rid,dateTime,data
rid-2j5cpfmmfl8,1613513978731,202
rid-meb228vauh,1613513978731,285
rid-1hcbilg81q8,1613513978731,224
rid-cofgjct3jh,1613513978732,197
rid-aq05kucfnt,1613513979738,244
rid-j033ak9ivm,1613513979738,245
rid-n7knprmut5,1613513979738,244
rid-l9v6a5p2f3g,1613513979739,243
rid-7b7l4klggi8,1613513979739,245
rid-a8gav193k4g,1613513980739,236
rid-nd5u79q8agg,1613513980739,237
rid-t6h500ciq5o,1613513980739,235
rid-fihqgn4kclg,1613513980740,236
rid-55tequ7mnto,1613513980740,287
rid-mkbavgcvg,1613513981744,227
rid-l2pesqdtom8,1613513981744,246
rid-69068nu8ao8,1613513981744,252
rid-tgph5rc3ld8,1613513981744,316
rid-c50aivj7c68,1613513981744,317
rid-falg3rthv6o,1613513982746,249
rid-sgodfvtmsk,1613513982747,247
rid-su0p9shk3cg,1613513982747,250
rid-5dtr8kcltlo,1613513982747,248
rid-vm8vsomne5g,1613513982747,249
rid-ltsgtsp6bs8,1613513983746,252
rid-1j3ppf2uhbg,1613513983747,215
rid-84frr2rtm9o,1613513983747,251
rid-ug9cb6d2b98,1613513983747,252
rid-j2f28mp61ng,1613513983747,253
rid-9k090goohv,1613513984750,242
rid-n10npmtv8go,1613513984751,240
rid-0dkdjr2ijvo,1613513984751,203
rid-vuved29e7h8,1613513984751,239
rid-qa4c0n5t0b8,1613513984751,240
rid-uctajf0p6e,1613513985764,251
rid-ou2bbj3dj68,1613513985764,245
rid-69jk43dih0g,1613513985764,245
rid-mpua51pubto,1613513985764,246
rid-ek8nfoglla8,1613513985764,210
rid-ekdl6r7dpt,1613513986777,226
rid-rl55jek0v98,1613513986777,226
rid-489vq5458uo,1613513986777,228
rid-johvhgnk8u8,1613513986777,227
rid-uipdt4851bo,1613513986777,227
rid-g81afk97d7g,1613513987789,237
rid-o142irfgqqg,1613513987790,236
rid-sc89uglkc78,1613513987790,238
rid-lvck2683pl,1613513987790,240
rid-sh186k8muq,1613513987790,238
rid-pm2ca31u8lg,1613513988805,241
rid-d4ef10dl8g8,1613513988806,242
rid-c240v210q2g,1613513988806,201
